"filename", "language", "PHP", "JavaScript", "YAML", "Properties", "XML", "JSON", "Markdown", "CSS", "Less", "SCSS", "HTML", "CoffeeScript", "Shell Script", "comment", "blank", "total"
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.lv.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.me.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.mk.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.mn.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.ms.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.nb.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.nl-BE.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.nl.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.no.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.pl.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.pt-BR.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.pt.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.ro.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.rs-latin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.rs.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.ru.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.sk.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.sl.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.sq.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.sr-latin.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.sr.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.sv.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.sw.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.th.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.tr.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.uk.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.vi.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.zh-CN.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-datepicker\locales\bootstrap-datepicker.zh-TW.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-markdown\bootstrap-markdown.js", "JavaScript", 0, 991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 245, 1391
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-markdown\bootstrap-markdown.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\xampp\htdocs\seniorProject\assets\vendor\bootstrap-multiselect\bootstrap-multiselect.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
